title,region,region_name,region_parent_name,property_size,bedrooms,bathrooms,furnishing,is_boost,price
"3bdrm House in Hibadu Rahman Estate, Ado-Odo/Ota for sale","Ogun State, Ado-Odo/Ota",Ado-Odo/Ota,Ogun State,464.0,3.0,3.0,Unfurnished,False,29500000
"Furnished 5bdrm Duplex in Ologolo  Lekki , Ajah for sale","Lagos State, Ajah",Ajah,Lagos State,600.0,5.0,5.0,Furnished,vip_gold,420000000
"3bdrm Block of Flats in Unilag Estate Magodo, GRA Phase 1 for sale","Magodo, Gra Phase 1",Gra Phase 1,Lagos State,300.0,3.0,3.0,Semi-Furnished,diamond,85000000
"12bdrm Apartment in Ikwatt Close, Ikot Ekpene for sale","Akwa Ibom State, Ikot Ekpene",Ikot Ekpene,Akwa Ibom State,1758.0,12.0,4.0,Unfurnished,False,40000000
12bdrm House in Ita Oluwo for sale,"Ikorodu, Ita Oluwo",Ita Oluwo,Lagos State,648.0,12.0,1.0,Unfurnished,False,30000000
2bdrm Apartment in Lekki Expressway for sale,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,500.0,2.0,3.0,Unfurnished,vip_gold,65000000
"2bdrm Bungalow in Teacher Estate, Obafemi-Owode for sale","Ogun State, Obafemi-Owode",Obafemi-Owode,Ogun State,300.0,2.0,2.0,Unfurnished,premium,16500000
Furnished 6bdrm Duplex in Ojodu for sale,"Lagos State, Ojodu",Ojodu,Lagos State,500.0,6.0,6.0,Furnished,diamond,330000000
3bdrm Block of Flats in Abule Egba for sale,"Lagos State, Abule Egba",Abule Egba,Lagos State,680.0,3.0,4.0,Semi-Furnished,enterprise,110000000
"Furnished 4bdrm Duplex in Spotlight Millennium, Lugbe District for sale","Abuja (Fct), Lugbe District",Lugbe District,Abuja (Fct),450.0,4.0,4.0,Furnished,premium,170000000
Furnished 4bdrm Duplex in Ogba for sale,"Lagos State, Ogba",Ogba,Lagos State,300.0,4.0,4.0,Furnished,diamond,380000000
"3bdrm Bungalow in Oke’Badan Estate, Akobo for sale","Ibadan, Akobo",Akobo,Oyo State,600.0,3.0,3.0,Unfurnished,diamond,55000000
Furnished 6bdrm Bungalow in Ota for sale,"Ogun State, Ado-Odo/Ota",Ado-Odo/Ota,Ogun State,648.0,6.0,7.0,Furnished,diamond,34000000
Furnished 5bdrm Duplex in Adeniyi Jones Ikeja for sale,"Ikeja, Adeniyi Jones",Adeniyi Jones,Lagos State,350.0,5.0,5.0,Furnished,diamond,595000000
"Furnished 4bdrm Duplex in Efab Queens Karsana, Dape for sale","Gwarinpa, Dape",Dape,Abuja (Fct),350.0,4.0,4.0,Furnished,vip_gold,300000000
"3bdrm Apartment in King'S Court Estate, Abeokuta South for sale","Ogun State, Abeokuta South",Abeokuta South,Ogun State,400.0,3.0,3.0,Semi-Furnished,enterprise,75000000
"4bdrm House in Sunrise Court Estate, Ajah for sale","Lagos State, Ajah",Ajah,Lagos State,200.0,4.0,4.0,Unfurnished,False,160000000
"4bdrm Bungalow in Phase 3, Life Camp for sale","Gwarinpa, Life Camp",Life Camp,Abuja (Fct),250.0,4.0,5.0,Semi-Furnished,False,60000000
3bdrm Apartment in Lekki Phase 1 for sale,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,1000.0,3.0,3.0,Unfurnished,diamond,380000000
4bdrm Duplex in Ikota Lagos State for sale,"Lekki, Ikota",Ikota,Lagos State,1000.0,4.0,4.0,Unfurnished,enterprise,200000000
3bdrm House in Ikeja for sale,"Lagos State, Ikeja",Ikeja,Lagos State,1000.0,3.0,1.0,Unfurnished,enterprise,200000000
Furnished 5bdrm Duplex in Magodo Gra Phase 1 for sale,"Magodo, Gra Phase 1",Gra Phase 1,Lagos State,400.0,5.0,5.0,Furnished,diamond,495000000
4bdrm Duplex in Lokogoma for sale,"Bwari, Bwari / Bwari",Bwari / Bwari,Abuja(Fct),,,,,enterprise,280000000
4bdrm Duplex in Ikota for sale,"Lekki, Ikota",Ikota,Lagos State,300.0,4.0,4.0,Semi-Furnished,enterprise,150000000
2bdrm Bungalow in Ibadan for sale,"Oyo State, Ibadan",Ibadan,Oyo State,930.0,2.0,2.0,Unfurnished,False,16000000
4bdrm Duplex in Oshimili South for sale,"Delta State, Oshimili South",Oshimili South,Delta State,400.0,4.0,4.0,Unfurnished,basic,200000000
3bdrm Duplex in Ajah Lekki Lagos for sale,"Lagos State, Ajah",Ajah,Lagos State,1000.0,3.0,3.0,Unfurnished,enterprise,110000000
4bdrm Maisonette in Lekki Phase 1 for sale,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,1000.0,4.0,4.0,Unfurnished,diamond,400000000
"Furnished 3bdrm Duplex in Lekki Gardens 4, Abraham Adesanya Estate","Ajah, Abraham Adesanya Estate",Abraham Adesanya Estate,Lagos State,250.0,3.0,4.0,Furnished,False,80000000
"20bdrm Block of Flats in Better Life Estate, Ikotun / Ikotun/Igando","Ikotun/Igando, Ikotun / Ikotun/Igando",Ikotun / Ikotun/Igando,Lagos State,900.0,20.0,2.0,Semi-Furnished,False,280000000
